Speaker,Line,Stanza,Word,Context
Narrator,10,1,gresse,Þurȝ [gresse] to [grounde] hit fro me yot.
Narrator,10,1,grounde,Þurȝ [gresse] to [grounde] hit fro me yot.
Narrator,31,3,gresse,For vch [gresse] mot [grow] of [grayneȝ] dede;
Narrator,31,3,grow,For vch [gresse] mot [grow] of [grayneȝ] dede;
Narrator,31,3,grayneȝ,For vch [gresse] mot [grow] of [grayneȝ] dede;
Narrator,38,4,grene,"I entred in þat erber [grene],"
Narrator,43,4,gromylyoun,"Gilofre, gyngure and [gromylyoun],"
Narrator,63,6,grace,My goste is gon in Godeȝ [grace]
Narrator,70,6,glemande,Þe [glemande] [glory] þat of hem [glent];
Narrator,70,6,glory,Þe [glemande] [glory] þat of hem [glent];
Narrator,70,6,glent,Þe [glemande] [glory] þat of hem [glent];
Narrator,79,7,glem,"Quen [glem] of [glodeȝ] agaynȝ hem [glydeȝ],"
Narrator,79,7,glodeȝ,"Quen [glem] of [glodeȝ] agaynȝ hem [glydeȝ],"
Narrator,79,7,glydeȝ,"Quen [glem] of [glodeȝ] agaynȝ hem [glydeȝ],"
Narrator,81,7,grauayl,Þe [grauayl] þat on [grounde] con [grynde]
Narrator,81,7,grounde,Þe [grauayl] þat on [grounde] con [grynde]
Narrator,81,7,grynde,Þe [grauayl] þat on [grounde] con [grynde]
Narrator,86,8,greffe,Garten my goste al [greffe] forȝete.
Narrator,90,8,grete,"Of flaumbande hweȝ, boþe smale and [grete];"
Narrator,95,8,gracios,So [gracios] [gle] couþe no mon gete
Narrator,95,8,gle,So [gracios] [gle] couþe no mon gete
Narrator,114,10,glente,"As [glente] þurȝ [glas] þat [glowed] and [glyȝt],"
Narrator,114,10,glas,"As [glente] þurȝ [glas] þat [glowed] and [glyȝt],"
Narrator,114,10,glowed,"As [glente] þurȝ [glas] þat [glowed] and [glyȝt],"
Narrator,114,10,glyȝt,"As [glente] þurȝ [glas] þat [glowed] and [glyȝt],"
Narrator,136,12,gladneȝ,To þe tenþe dole of þo [gladneȝ] [glade];
Narrator,136,12,glade,To þe tenþe dole of þo [gladneȝ] [glade];
